Data;Temperatura;Umidade;Maquina;Vibracao1;Vibracao2;Vibracao3;Vibracao4;Vibracao5;Vibracao6;HorasDesdeAUltimaFalha;FalharaEmBreve
2016-08-18;62;93;Apolo;1174;1050;2004;671;209;1138;130;Não
2016-02-17;60;83;Apolo;1815;1725;1662;1731;1998;1778;18;Não
2016-11-28;68;77;Apolo;1641;291;1361;739;1661;1032;70;Não
2016-09-11;68;95;Apolo;1301;943;362;737;673;1427;66;Não
2016-07-13;61;88;Apolo;1793;1783;753;268;1358;1759;64;Não
2016-08-24;67;84;Apolo;1101;382;1980;250;651;1940;37;Não
2016-01-15;60;81;Apolo;327;312;659;1912;1636;1962;64;Não
2016-10-17;65;87;Apolo;1763;901;1030;1034;958;1650;74;Não
2016-06-10;61;80;Apolo;1635;722;1254;1497;925;670;91;Não
2016-11-13;62;89;Apolo;399;1056;2010;590;453;1173;81;Não
2016-04-23;68;86;Apolo;777;1105;965;1921;1027;1513;283;Não
2016-05-20;67;78;Apolo;380;931;640;1956;715;156;16;Não
2016-04-14;66;80;Apolo;435;1330;717;406;1408;1174;67;Não
2016-08-30;60;82;Apolo;1816;889;856;1978;632;279;179;Não
2016-03-03;66;76;Apolo;420;1578;1825;292;1010;1622;39;Não
2016-03-15;63;85;Apolo;249;201;395;398;574;1160;63;Não
2016-07-04;63;88;Apolo;1160;174;1683;1065;447;1390;218;Não
2016-05-20;62;88;Apolo;1395;1665;670;1372;208;1027;11;Não
2016-05-14;66;85;Apolo;549;444;1932;662;773;1393;40;Não
2016-01-21;63;77;Apolo;1466;329;409;899;1866;1335;37;Não
2016-01-06;64;79;Apolo;504;516;1047;1093;1250;854;48;Não
2016-09-05;64;82;Apolo;1117;1753;222;969;311;1310;21;Não
2016-12-10;60;77;Apolo;1211;1284;1576;792;1330;1508;41;Não
2016-01-18;68;78;Apolo;1492;504;1086;1978;322;573;131;Não
2016-06-13;67;86;Apolo;888;990;1397;1760;1251;1899;166;Não
2016-05-17;64;85;Apolo;1852;764;157;1467;1594;702;18;Não
2016-10-26;64;84;Apolo;1265;720;1226;1978;1981;591;290;Não
2016-11-13;67;79;Apolo;1084;950;1438;728;1534;213;74;Não
2016-09-11;60;84;Apolo;1847;2001;558;662;168;684;72;Não
2016-12-31;66;85;Apolo;1422;515;232;1502;1540;1947;38;Não
2016-05-26;65;82;Apolo;910;538;1436;168;475;1418;23;Não
2016-06-16;60;85;Apolo;1390;336;1739;1944;395;820;237;Não
2016-10-17;67;89;Apolo;1049;871;1619;1650;791;562;73;Não
2016-12-10;60;82;Apolo;1898;1775;1548;1022;470;1753;48;Não
2016-11-19;70;81;Apolo;1457;1446;336;1793;611;1744;45;Não
2016-06-01;65;78;Apolo;1299;1021;1391;1080;1253;580;13;Não
2016-05-02;66;84;Apolo;891;430;563;1001;1882;205;115;Não
2016-09-05;66;82;Apolo;924;392;1359;1736;794;1889;16;Não
2016-03-12;63;79;Apolo;1433;1225;1011;1064;1055;384;62;Não
2016-09-20;62;86;Apolo;1808;1798;1858;752;779;890;3;Não
2016-02-02;67;84;Apolo;1341;1700;205;787;1853;1010;70;Não
2016-10-05;65;80;Apolo;1291;197;282;954;845;1171;47;Não
2016-01-27;64;85;Apolo;1532;1822;957;1530;1079;1150;24;Não
2016-06-13;66;79;Apolo;707;1554;547;1684;1810;382;163;Não
2016-04-11;63;87;Apolo;938;820;1456;1651;605;1155;2;Não
2016-10-29;61;79;Apolo;1895;1475;806;553;1187;445;62;Não
2016-01-06;66;78;Apolo;377;663;1204;534;1688;1817;42;Não
2016-11-04;61;77;Apolo;1517;1336;626;1771;777;1459;17;Não
2016-04-23;64;78;Apolo;878;853;1251;378;1258;1588;286;Não
2016-09-11;60;88;Apolo;727;1021;1902;1720;1186;720;70;Não
2016-08-21;64;95;Apolo;441;584;1896;852;1028;494;197;Não
2016-05-11;63;82;Apolo;1762;1271;1552;629;1396;1248;148;Não
2016-03-06;66;85;Apolo;680;1678;1408;893;1646;1997;23;Não
2016-06-19;61;88;Apolo;725;1176;231;243;1710;1946;308;Não
2016-04-29;66;82;Apolo;1051;422;786;1533;1296;731;43;Não
2016-01-15;68;80;Apolo;1324;628;1881;283;833;1729;62;Não
2016-01-21;63;75;Apolo;230;815;242;419;440;1443;39;Não
2016-07-10;60;87;Apolo;1187;1488;1075;1513;1301;662;62;Não
2016-06-13;60;88;Apolo;741;1830;1912;1631;1835;1963;165;Não
2016-08-15;68;95;Apolo;1774;1540;234;1888;179;1276;57;Não
2016-03-27;64;84;Apolo;1158;725;311;1339;1935;863;24;Não
2016-04-05;67;78;Apolo;1280;1352;1136;1120;1119;248;57;Não
2016-04-05;66;86;Apolo;1524;950;1629;988;1380;2002;60;Não
2016-06-16;60;87;Apolo;545;475;803;2007;1195;1261;235;Não
2016-01-15;66;80;Apolo;182;792;1143;228;1806;810;61;Não
2016-03-12;62;79;Apolo;489;1559;887;263;541;703;57;Não
2016-10-05;60;89;Apolo;1934;1027;1468;877;1947;794;50;Não
2016-02-02;66;83;Apolo;1389;1865;685;1732;942;313;68;Não
2016-11-16;62;81;Apolo;1353;1997;567;465;779;1143;8;Não
2016-12-31;62;75;Apolo;1403;726;194;1798;1643;208;39;Não
2016-08-09;60;83;Apolo;458;909;525;767;926;1100;91;Não
2016-07-28;68;82;Apolo;528;1154;1790;1939;274;1128;58;Não
2016-01-12;66;79;Apolo;1993;363;1854;1449;1600;706;36;Não
2016-10-14;62;80;Apolo;996;1446;797;427;709;1406;5;Não
2016-02-08;66;78;Apolo;1813;486;1858;1669;1557;998;212;Não
2016-04-29;65;85;Apolo;1356;903;1595;631;1469;224;41;Não
2016-12-31;61;81;Apolo;548;1403;191;318;1795;1551;42;Não
2016-05-08;64;86;Apolo;1389;155;1370;1647;901;823;81;Não
2016-12-19;61;77;Apolo;1440;693;1538;1286;172;1545;44;Não
2016-09-23;67;81;Apolo;1740;1060;1405;318;1938;429;77;Não
2016-12-07;65;83;Apolo;761;291;1898;384;2008;870;3;Não
2016-01-21;65;85;Apolo;1357;1201;1559;473;492;1732;38;Não
2016-09-11;61;89;Apolo;801;1098;1148;1488;813;1605;71;Não
2016-12-07;64;83;Apolo;527;198;1748;1459;864;1806;8;Não
2016-02-23;67;79;Apolo;1195;502;869;248;1648;331;122;Não
2016-04-08;63;87;Apolo;791;1890;520;1056;1015;1522;13;Não
2016-09-23;61;90;Apolo;1768;1350;736;410;686;1692;78;Não
2016-05-29;66;84;Apolo;1878;1113;1906;1669;1014;445;39;Não
2016-02-08;66;77;Apolo;1985;583;1665;472;469;820;213;Não
2016-01-06;67;81;Apolo;531;1617;1723;560;1077;1633;41;Não
2016-05-29;65;84;Apolo;1153;682;217;565;1247;1028;43;Não
2016-07-16;68;93;Apolo;830;626;1585;796;1464;1415;16;Não
2016-10-11;67;85;Apolo;1666;410;1297;1846;687;1975;58;Não
2016-10-02;64;81;Apolo;1435;486;661;2002;1889;316;32;Não
2016-02-11;65;76;Apolo;1245;611;1099;949;1044;525;14;Não
2016-01-06;67;84;Apolo;1570;1757;803;226;705;581;45;Não
2016-03-06;62;83;Apolo;1970;734;955;1224;1814;166;29;Não
2016-01-09;63;83;Apolo;1439;251;582;1755;1180;1804;44;Não
2016-10-26;62;79;Apolo;1900;1220;528;246;419;233;292;Não
2016-08-21;61;91;Apolo;1667;471;1526;574;1718;204;203;Não
2016-02-26;61;84;Apolo;790;953;383;1455;519;1002;22;Não
2016-08-27;68;91;Apolo;350;1156;1102;1994;642;1213;106;Não
2016-04-17;68;82;Apolo;371;347;560;467;699;230;143;Não
2016-10-23;60;91;Apolo;1032;1616;370;1191;1503;703;214;Não
2016-12-07;61;83;Apolo;1229;1073;346;253;267;534;2;Não
2016-01-27;65;76;Apolo;509;1285;338;826;768;371;21;Não
2016-11-25;68;84;Apolo;1061;692;502;1420;934;365;188;Não
2016-11-10;65;85;Apolo;660;795;438;255;1804;1245;9;Não
2016-12-13;65;76;Apolo;876;171;933;1037;1249;416;115;Não
2016-08-27;63;95;Apolo;1169;1078;1684;1725;339;1993;112;Não
2016-11-19;68;81;Apolo;1668;1660;1667;157;1828;285;49;Não
2016-02-02;68;85;Apolo;239;1007;1311;919;1474;740;69;Não
2016-04-23;60;87;Apolo;1142;811;670;573;458;885;288;Não
2016-06-25;64;81;Apolo;284;418;1858;1604;952;1225;7;Não
2016-03-03;62;81;Apolo;1897;447;907;504;1346;751;37;Não
2016-02-02;68;81;Apolo;1474;980;646;489;965;739;71;Não
2016-09-23;60;91;Apolo;561;1242;1357;959;676;1761;76;Não
2016-02-17;62;85;Apolo;1243;1354;1933;566;1369;1346;19;Não
2016-04-08;68;88;Apolo;1204;486;1048;350;1772;1934;14;Não
2016-12-13;61;79;Apolo;2003;1914;670;841;723;1290;116;Não
2016-12-19;60;75;Apolo;925;559;625;1384;1314;585;45;Não
2016-03-03;62;77;Apolo;1596;1113;1721;1809;187;992;38;Não
2016-08-09;62;84;Apolo;1737;999;1763;1827;1727;541;86;Não
2016-07-31;65;85;Apolo;1047;1768;1067;876;1327;1535;132;Não
2016-03-24;64;88;Apolo;812;1239;1959;703;182;1240;37;Não
2016-07-13;65;88;Apolo;1541;1447;1505;1468;634;1367;67;Não
2016-03-12;68;81;Apolo;1587;270;528;279;940;1597;59;Não
2016-11-25;61;84;Apolo;705;458;900;1760;503;1096;189;Não
2016-02-20;65;75;Apolo;397;1411;192;1136;1145;213;47;Não
2016-06-01;63;86;Apolo;437;206;525;2000;1898;1601;12;Não
2016-08-06;67;89;Apolo;304;1513;866;558;1248;1341;20;Não
2016-12-19;66;76;Apolo;1013;1376;782;362;1042;1518;46;Não
2016-08-12;60;92;Apolo;1009;1540;1714;638;1629;1098;164;Não
2016-03-15;61;77;Apolo;1582;1960;1710;452;935;973;62;Não
2016-09-14;64;88;Apolo;249;1817;1030;250;1680;592;143;Não
2016-09-11;60;89;Apolo;928;1016;352;1434;563;743;73;Não
2016-08-15;68;91;Apolo;558;645;1773;303;1476;673;59;Não
2016-05-08;63;80;Apolo;1123;1032;1158;1534;866;1064;74;Não
2016-03-03;67;85;Apolo;597;1286;1226;429;287;1126;41;Não
2016-06-13;67;79;Apolo;577;1976;1555;1946;478;569;162;Não
2016-10-29;68;83;Apolo;1570;865;1563;1600;460;357;65;Não
2016-02-11;61;75;Apolo;382;542;424;899;438;1552;13;Não
2016-06-07;60;83;Apolo;675;927;933;508;426;369;20;Não
2016-02-05;64;80;Apolo;556;1835;1483;373;461;800;141;Não
2016-12-16;66;83;Apolo;886;1908;347;1798;1512;470;12;Não
2016-03-24;63;80;Apolo;195;327;1343;1558;1720;1284;39;Não
2016-08-21;65;82;Apolo;1887;590;324;911;1285;609;198;Não
2016-07-28;66;87;Apolo;361;1643;694;1367;1464;1778;64;Não
2016-08-24;65;86;Apolo;980;978;1231;850;1162;726;35;Não
2016-11-19;60;80;Apolo;234;1358;1732;166;807;1776;42;Não
2016-06-22;63;81;Apolo;812;924;1212;1133;1661;247;70;Não
2016-05-29;67;87;Apolo;726;1706;1481;816;1617;1804;46;Não
2016-09-29;68;86;Apolo;1964;300;970;1335;1792;785;52;Não
2016-06-04;68;82;Apolo;987;1472;934;707;1548;231;34;Não
2016-06-10;63;85;Apolo;1349;1445;193;2011;1930;1543;89;Não
2016-03-30;68;85;Apolo;927;191;985;1943;1334;1861;96;Não
2016-07-01;60;83;Apolo;183;1468;287;1558;1609;722;145;Não
2016-02-29;67;82;Apolo;318;1195;1757;1015;564;990;54;Não
2016-07-28;66;93;Apolo;1214;1789;1157;551;415;1480;63;Não
2016-02-20;67;80;Apolo;572;213;682;609;317;1900;50;Não
2016-05-26;64;77;Apolo;434;1593;932;1341;625;1650;16;Não
2016-02-26;67;77;Apolo;234;1419;952;1193;725;1761;24;Não
2016-09-08;67;94;Apolo;1477;607;1337;1127;334;254;7;Não
2016-05-29;68;85;Apolo;537;1055;949;1063;164;771;41;Não
2016-11-28;62;76;Apolo;843;1024;655;1236;1464;1080;65;Não
2016-02-23;64;85;Apolo;1972;1811;219;1329;874;889;121;Não
2016-12-13;63;82;Apolo;1824;1680;927;335;877;1484;120;Não
2016-04-23;67;81;Apolo;1407;1225;903;1762;2004;1354;284;Não
2016-06-13;60;86;Apolo;204;1043;1856;359;1550;1498;167;Não
2016-05-20;65;81;Apolo;236;1866;978;502;1816;587;15;Não
2016-10-02;66;87;Apolo;1522;1419;1367;705;735;1702;33;Não
2016-04-23;67;85;Apolo;206;173;382;822;1985;494;285;Não
2016-06-13;62;81;Apolo;1820;433;1191;179;336;762;164;Não
2016-07-04;64;91;Apolo;1741;1575;879;186;1625;663;220;Não
2016-12-10;60;80;Apolo;1430;377;1386;906;406;1738;44;Não
2016-03-03;64;76;Apolo;627;1879;2004;596;1292;211;43;Não
2016-02-23;60;78;Apolo;1093;1906;1653;959;924;575;118;Não
2016-06-01;60;80;Apolo;325;662;1539;416;758;1721;8;Não
2016-03-03;61;82;Apolo;821;1659;1413;1676;464;743;36;Não
2016-04-29;60;86;Apolo;1731;889;1694;1561;855;410;40;Não
2016-12-13;61;77;Apolo;1030;1968;1091;783;1311;171;113;Não
2016-05-08;65;78;Apolo;180;299;1852;810;1474;1094;78;Não
2016-09-23;62;84;Apolo;933;870;1519;1005;169;459;81;Não
2016-04-26;60;85;Apolo;532;1718;483;1298;229;947;357;Não
2016-09-29;62;85;Apolo;776;1127;219;395;569;707;48;Não
2016-04-02;60;82;Apolo;1900;1087;622;762;2004;290;69;Não
2016-04-17;60;88;Apolo;1658;882;771;719;726;1131;142;Não
2016-07-16;68;84;Apolo;606;1219;501;388;1461;1628;13;Não
2016-06-04;68;82;Apolo;1852;1701;935;1991;1717;1411;31;Não
2016-05-11;60;82;Apolo;982;833;973;1178;1244;534;151;Não
2016-12-16;63;76;Apolo;1803;1276;519;2001;1257;1839;6;Não
2016-02-23;66;81;Apolo;870;212;436;1203;1536;1197;120;Não
2016-10-20;60;90;Apolo;645;1736;1213;1491;1750;623;149;Não
2016-07-16;65;85;Apolo;515;1278;715;285;758;1041;10;Não
2016-06-10;66;84;Apolo;837;320;1942;1682;829;1580;93;Não
2016-11-13;65;85;Apolo;1582;884;1751;765;807;1946;78;Não
2016-08-18;65;93;Apolo;1566;1691;948;907;632;1050;125;Não
2016-01-18;65;82;Apolo;1386;903;1535;1850;1843;530;133;Não
2016-07-28;64;92;Apolo;1947;1374;458;933;1380;1362;62;Não
2016-07-07;68;85;Apolo;1551;531;1413;230;321;861;288;Não
2016-07-28;67;93;Apolo;474;1689;976;1148;1965;648;57;Não
2016-10-11;65;86;Apolo;166;1078;519;1474;1146;1052;54;Não
2016-07-22;65;93;Apolo;353;1037;1102;1375;435;1196;158;Não
2016-04-29;62;78;Apolo;1445;1704;296;288;246;1526;44;Não
2016-09-14;68;88;Apolo;1048;520;1535;365;1200;376;145;Não
2016-04-20;65;85;Apolo;193;1282;1320;722;1884;175;216;Não
2016-01-15;68;77;Apolo;738;1585;1997;548;470;753;59;Não
2016-04-26;63;78;Apolo;344;1603;156;229;1326;832;361;Não
2016-10-23;62;87;Apolo;967;275;911;1995;560;643;215;Não
2016-08-30;67;92;Apolo;434;1630;744;959;1157;1868;184;Não
2016-10-14;63;92;Apolo;329;482;1800;1431;1570;544;124;Não
2016-01-12;64;80;Apolo;515;494;1916;836;1918;1958;35;Não
2016-04-02;62;85;Apolo;1534;1343;1675;1213;653;220;66;Não
2016-06-28;61;87;Apolo;1822;1459;1234;1106;1643;1688;76;Não
2016-05-05;63;88;Apolo;1731;1002;1979;923;240;1935;8;Não
2016-06-19;62;82;Apolo;293;1760;1707;1413;777;737;306;Não
2016-01-15;63;85;Apolo;1644;893;687;775;1153;837;58;Não
2016-02-08;68;80;Apolo;772;970;1872;1875;1648;1336;216;Não
2016-06-22;61;91;Apolo;181;1542;380;1683;1901;412;66;Não
2016-03-15;63;83;Apolo;625;551;1670;1024;1781;880;59;Não
2016-10-29;60;83;Apolo;604;1288;533;625;1344;834;61;Não
2016-08-06;64;89;Apolo;1729;794;580;1587;167;990;16;Não
2016-06-25;60;84;Apolo;585;956;1541;298;1789;1371;2;Não
2016-10-29;65;85;Apolo;404;1641;909;326;1940;1136;64;Não
2016-06-07;67;80;Apolo;433;548;871;1988;1742;1991;18;Não
2016-07-19;68;83;Apolo;1215;1860;1784;1063;878;268;88;Não
2016-12-10;62;83;Apolo;1413;1947;1786;191;1224;677;45;Não
2016-02-08;64;76;Apolo;414;1485;1061;367;1475;1204;217;Não
2016-08-18;65;83;Apolo;1604;1229;1156;1396;1270;508;131;Não
2016-11-28;68;82;Apolo;1431;1773;564;454;1724;1593;68;Não
2016-08-06;63;84;Apolo;761;281;805;985;457;1283;14;Não
2016-10-20;66;81;Apolo;499;1420;585;1496;1213;1309;147;Não
2016-07-25;63;84;Apolo;1142;1346;160;718;1964;1537;2;Não
2016-09-14;67;83;Apolo;1838;1793;600;1318;1162;1107;144;Não
2016-04-23;65;80;Apolo;1920;1962;1071;942;514;278;289;Não
2016-06-16;68;81;Apolo;923;1766;1149;538;976;510;236;Não
2016-10-05;65;81;Apolo;1254;1628;1108;1201;1449;883;49;Não
2016-08-12;61;91;Apolo;365;1551;1654;1762;198;1512;163;Não
2016-05-23;63;84;Apolo;1107;846;1301;214;1029;686;9;Não
2016-09-29;63;87;Apolo;1117;1117;746;1055;1296;387;54;Não
2016-09-17;67;95;Apolo;1715;1245;611;709;263;398;214;Não
2016-11-10;66;82;Apolo;1375;1512;379;1779;885;1227;6;Não
2016-06-28;60;83;Apolo;1381;1774;1172;392;1614;1673;73;Não
2016-06-10;63;79;Apolo;540;606;1588;1962;526;1846;90;Não
2016-12-28;61;85;Apolo;724;1250;1622;965;1387;265;70;Não
2016-04-23;63;84;Apolo;631;1384;732;1180;332;857;290;Não
2016-01-09;62;84;Apolo;675;502;576;1546;1783;1020;51;Não
2016-01-15;61;77;Apolo;891;1638;224;1263;463;1378;60;Não
2016-06-22;66;91;Apolo;792;1187;672;1774;563;1949;65;Não
2016-05-14;62;88;Apolo;1145;1879;434;464;690;1520;43;Não
2016-10-05;60;92;Apolo;725;354;778;1762;1706;594;44;Não
2016-02-26;60;81;Apolo;1155;2005;1946;1010;1511;1589;23;Não
2016-10-26;60;80;Apolo;1898;311;190;1613;366;1701;291;Não
2016-11-25;68;81;Apolo;1730;1684;1115;1231;664;1270;187;Não
2016-01-24;66;81;Apolo;1378;406;867;1545;452;1924;37;Não
2016-11-28;60;84;Apolo;1529;1541;1126;1944;1415;1816;66;Não
2016-12-19;61;79;Apolo;1171;1540;833;1227;244;1050;48;Não
2016-01-21;65;83;Apolo;1797;197;1845;1355;609;660;41;Não
2016-11-10;62;83;Apolo;1780;679;474;952;497;1985;3;Não
2016-07-04;67;86;Apolo;723;770;1414;1213;1888;454;223;Não
2016-08-06;62;90;Apolo;1684;811;285;1983;1481;610;19;Não
2016-10-23;67;81;Apolo;450;400;515;322;924;956;220;Não
2016-04-08;62;87;Apolo;1567;1976;1060;1211;225;1065;15;Não
2016-09-02;60;85;Apolo;1758;1209;1209;1499;184;505;27;Não
2016-03-27;67;80;Apolo;470;1784;863;279;974;466;26;Não
2016-09-20;64;80;Apolo;1182;1467;859;267;1878;1452;7;Não
2016-06-01;61;78;Apolo;394;578;1568;1348;1073;2010;9;Não
2016-01-03;63;76;Apolo;1067;1039;1604;1990;626;2008;139;Não
2016-01-09;65;84;Apolo;2003;1773;1619;1651;1358;1796;47;Não
2016-09-20;61;85;Apolo;1907;209;1994;1880;1173;563;8;Não
2016-07-13;65;82;Apolo;1487;1993;1585;304;605;638;61;Não
2016-08-15;63;89;Apolo;1432;159;1434;321;804;1476;53;Não
2016-03-27;64;86;Apolo;1308;1382;1765;1074;1810;746;22;Não
2016-03-09;61;80;Apolo;507;285;688;865;498;1086;4;Não
2016-05-02;63;79;Apolo;1246;1099;1905;2002;769;618;114;Não
2016-05-23;62;84;Apolo;1613;657;175;1299;330;279;12;Não
2016-06-19;65;84;Apolo;784;1080;748;1115;347;204;310;Não
2016-11-28;60;78;Apolo;1735;1707;426;829;1010;1985;67;Não
2016-09-02;61;95;Apolo;919;1314;319;1131;395;1387;28;Não
2016-01-24;65;83;Apolo;481;514;1651;1462;682;1746;36;Não
2016-04-26;67;85;Apolo;1282;556;806;2005;806;588;360;Não
2016-02-29;64;80;Apolo;1080;1866;1160;1051;274;422;57;Não
2016-09-02;60;90;Apolo;420;414;370;809;259;1124;23;Não
2016-11-07;68;87;Apolo;1028;1642;950;1981;1254;1791;1;Não
2016-07-19;63;92;Apolo;333;548;1173;1555;1108;675;87;Não
2016-03-24;62;78;Apolo;1776;718;640;1926;1903;1361;34;Não
2016-02-29;60;75;Apolo;205;1479;1321;1574;1194;1515;52;Não
2016-10-02;64;89;Apolo;1704;1663;1263;441;876;1207;36;Não
2016-05-02;61;80;Apolo;881;1693;772;208;1045;793;111;Não
2016-11-19;68;88;Apolo;1974;1993;1088;1388;765;1491;43;Não
2016-08-30;66;85;Apolo;1175;1544;243;191;239;686;182;Não
2016-05-08;60;79;Apolo;767;1383;363;1250;1415;848;76;Não
2016-06-19;66;83;Apolo;1328;457;1288;589;473;252;305;Não
2016-12-28;65;77;Apolo;1429;1417;741;1144;1588;1318;69;Não
2016-04-08;61;78;Apolo;1916;1072;983;1792;1144;333;11;Não
2016-06-07;63;85;Apolo;1095;204;709;972;515;327;23;Não
2016-03-09;67;76;Apolo;1346;949;882;929;926;1063;2;Não
2016-03-09;68;75;Apolo;2004;655;401;1662;1594;1355;3;Não
2016-11-22;67;80;Apolo;1282;744;910;1548;1723;1633;115;Não
2016-04-20;60;78;Apolo;914;1607;791;1811;167;1464;218;Não
2016-11-22;68;81;Apolo;498;1700;1065;210;1892;634;118;Não
2016-10-20;62;91;Apolo;971;1069;282;834;999;1193;142;Não
2016-01-30;65;84;Apolo;826;555;170;482;1476;1550;2;Não
2016-12-28;68;79;Apolo;336;1042;465;1279;1132;782;71;Não
2016-09-17;63;91;Apolo;1360;1613;1981;696;1782;1246;210;Não
2016-08-30;66;86;Apolo;1522;583;1461;1728;1629;1168;177;Não
2016-12-10;68;78;Apolo;753;602;1322;613;1732;1696;43;Não
2016-06-04;67;77;Apolo;590;371;283;1447;650;1229;32;Não
2016-04-05;66;82;Apolo;1278;808;1742;1731;1873;1848;63;Não
2016-03-24;65;88;Apolo;376;586;1911;547;1384;568;32;Não
2016-03-03;65;81;Apolo;449;206;492;503;1325;701;40;Não
2016-07-13;65;83;Apolo;1312;516;1998;1598;402;629;63;Não
2016-05-05;60;83;Apolo;1898;1101;1839;275;819;540;3;Não
2016-03-06;60;78;Apolo;1388;1250;1207;393;1135;197;27;Não
2016-11-22;68;85;Apolo;1231;276;354;540;419;899;121;Não
2016-11-13;60;82;Apolo;1712;1029;1845;1597;467;859;77;Não
2016-11-04;62;88;Apolo;252;762;444;1578;1042;1966;13;Não
2016-05-08;63;85;Apolo;708;290;1120;1918;1223;238;77;Não
2016-11-04;68;84;Apolo;774;598;1084;923;1622;669;15;Não
2016-01-06;60;85;Apolo;397;996;241;190;1827;1012;46;Não
2016-04-05;63;84;Apolo;1780;505;1930;1282;1459;167;58;Não
2016-07-01;60;92;Apolo;431;1098;1066;1534;1777;1829;149;Não
2016-05-02;63;81;Apolo;1797;702;1644;1442;1496;1842;116;Não
2016-11-13;61;83;Apolo;1581;1549;1502;362;705;1703;75;Não
2016-12-19;63;75;Apolo;740;1122;488;614;422;681;47;Não
2016-11-01;63;81;Apolo;839;942;1705;1209;431;810;138;Não
2016-04-29;60;77;Apolo;1402;709;1089;1884;988;1078;45;Não
2016-06-01;63;82;Apolo;831;1669;587;268;833;240;10;Não
2016-09-20;62;83;Apolo;954;1440;457;1415;808;1426;6;Não
2016-09-14;67;90;Apolo;392;1862;1828;1790;863;853;141;Não
2016-06-04;63;84;Apolo;1456;1213;971;697;1019;1453;33;Não
2016-11-10;63;86;Apolo;1052;1716;1859;1063;939;504;7;Não
2016-10-02;67;88;Apolo;1146;1258;665;1611;1445;1657;35;Não
2016-06-10;64;82;Apolo;949;924;449;1236;1386;816;92;Não
2016-02-05;65;83;Apolo;1208;956;526;404;571;1349;143;Não
2016-03-18;65;85;Apolo;1834;1268;1548;211;1285;1199;20;Não
2016-10-11;63;91;Apolo;1395;1259;1398;1031;1243;1353;55;Não
2016-06-07;61;85;Apolo;257;1808;1850;358;1335;1140;24;Não
2016-05-17;62;78;Apolo;1046;257;1111;737;1701;1160;22;Não
2016-07-25;60;91;Apolo;1484;449;1344;942;897;1954;5;Não
2016-09-05;63;95;Apolo;1403;1879;1213;1462;512;1541;20;Não
2016-05-11;63;80;Apolo;1595;886;439;511;1243;1384;149;Não
2016-03-18;66;84;Apolo;598;800;331;783;448;1083;21;Não
2016-01-30;65;76;Apolo;1116;1391;1764;1063;1284;1687;29;Não
2016-11-04;60;77;Apolo;1291;1282;347;1846;408;358;11;Não
2016-04-08;64;82;Apolo;375;210;900;1428;785;1754;16;Não
2016-09-26;65;82;Apolo;1527;1581;955;1840;558;1656;6;Não
2016-08-15;68;86;Apolo;988;484;739;1316;1145;1784;55;Não
2016-01-12;65;76;Apolo;1999;1174;1696;276;1109;1601;34;Não
2016-05-14;67;88;Apolo;383;395;1580;1753;874;1565;46;Não
2016-09-05;68;88;Apolo;834;1601;1669;1702;793;1011;15;Não
2016-10-08;66;80;Apolo;255;1508;1004;1598;576;1864;117;Não
2016-08-30;68;92;Apolo;1007;1219;577;802;1217;337;178;Não
2016-07-25;60;85;Apolo;253;552;1360;819;286;274;8;Não
2016-04-02;62;86;Apolo;1816;670;663;1312;1093;812;68;Não
2016-05-05;64;85;Apolo;1446;802;1333;303;170;1728;2;Não
2016-09-20;67;86;Apolo;1915;759;821;1676;918;390;10;Não
2016-12-10;67;81;Apolo;978;1542;543;1927;1396;1091;46;Não
2016-07-22;61;93;Apolo;1349;1550;1084;432;174;1285;153;Não
2016-08-03;62;88;Apolo;1217;895;957;783;1754;372;49;Não
2016-06-28;63;89;Apolo;1967;971;1665;468;871;1899;78;Não
2016-12-16;63;81;Apolo;1760;1297;1530;352;215;2011;8;Não
2016-11-07;68;88;Apolo;1065;734;1097;718;1824;287;4;Não
2016-05-05;62;85;Apolo;642;1773;873;1348;503;1147;4;Não
2016-11-10;66;83;Apolo;1200;337;700;619;834;1082;8;Não
2016-03-24;67;85;Apolo;1098;1912;703;170;388;1010;36;Não
2016-12-04;66;76;Apolo;997;1133;932;883;1314;1646;1;Não
2016-12-04;61;76;Apolo;457;1139;1941;1411;887;1409;3;Não
2016-07-22;63;88;Apolo;1358;1795;1331;488;1815;1692;154;Não
2016-08-03;67;87;Apolo;1039;217;1341;1109;1238;1559;46;Não
2016-12-01;63;84;Apolo;263;711;811;1032;1214;1259;3;Não
2016-09-11;64;91;Apolo;1490;1840;583;757;1631;1281;69;Não
2016-05-02;63;78;Apolo;356;1768;641;345;1599;645;118;Não
2016-02-08;68;75;Apolo;1008;887;1617;874;820;661;214;Não
2016-09-23;65;88;Apolo;712;1583;648;274;508;1861;79;Não
2016-12-13;66;80;Apolo;1860;1390;1993;1364;1358;301;114;Não
2016-12-13;65;82;Apolo;512;167;1060;1052;1719;379;119;Não
2016-02-17;65;81;Apolo;445;270;366;1161;1803;711;21;Não
2016-07-22;67;83;Apolo;1566;712;1905;340;1063;982;157;Não
2016-12-31;63;79;Apolo;498;1659;1413;430;1555;1627;36;Não
2016-01-15;64;85;Apolo;791;1535;357;592;1841;1072;65;Não
2016-02-08;66;76;Apolo;1107;454;415;1706;216;1000;219;Não
2016-07-10;66;91;Apolo;174;402;296;1298;1897;1306;60;Não
2016-10-11;61;80;Apolo;186;1127;1279;1073;856;831;57;Não
